name,density,temperature
Ether-d10,0.801,25
Acetonitrile with 0.1% ammonium acetate,not found,not found
Heavy metal mix according to USP <561> articles of botanical origin,"certified reference material, 2000 μg/mL each component in methano",not found
Dibromomethane-d2,2.505,25
Petroleum benzine,not found,not found
m-Xylene-d10,0.95,25
SPGS-550-M,1.005,25
Petroleum benzine boiling range 80-100°C,not found,not found
"Cap Mix A, (80% Tetrahydrofuran, 10% Acetic Anhydride, 10% Pyridine)",0.916,25
Methylcyclohexane-d14,0.88,25
Chloroform solution,not found,not found
Ethanol for analysis,not found,not found
Pentane-d12,0.731,25
"1,1,1,3,3,3-Hexafluoro-2-propanol-OD",1.605,25
n-Pentane about 95%,0.626,25
"2-Propanol-1,1,1,3,3,3-d6",0.86,25
Fluorobenzene-d5,1.078,25
"2,2,2,Trifluoroethanol-OD",1.387,25
Methyl pivalate,0.873,25
Dimethyl sulfide-d6,0.928,25
"Residual Solvents, California Set 1","certified reference material, 2000 μg/mL each component in methano",not found
1-Ethyl-3-methylimidazolium tetrachloroaluminate,1.304,25
Pentafluorophenol-OD,not found,not found
Acetonitrile with 0.05% (v:v) Trifluoroacetic acid,0.782,25
Imidazole-d4,not found,not found
2-Iodopropane-d7,1.774,25
Petroleum benzine boiling range 40-80°C,not found,not found
Cyclohexane - ethyl acetate 1:1 (v/v) mixture,not found,not found
Methyl benzoate,not found,not found
Hypophosphorous acid-d3 solution,1.350,25
Isopropyl acetate,0.872,25
Decahydronaphthalene-d18,1.012,25
Petroleum benzine boiling range 30-50°C,not found,not found
"1-Butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",not found,not found
Ethylene Glycol Emprove® Evolve,not found,not found
Acetonitrile – tetrahydrofuran solution,not found,not found
Ethylene glycol-(OD)2,1.148,25
Methyl-trioctylammonium bis(trifluoromethylsulfonyl)imide,1.095,25
"Ethanol-2,2,2-d3",0.835,25
1-Butyl-3-methylimidazolium thiocyanate,1.07,25
"1,2-Dimethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide",1.436,25
1-Butyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,not found,not found
Resolve-Al™ La,not found,not found
Hexafluoroacetone deuterate,not found,not found
Methanol solution,]}]},not found
"2,2,4,4-Tetramethyl-3,8,11,14,17-pentaoxa-2,4-disilaoctadecane",not found,not found
